Idosoby;Płeć;Wiek;Wykształcenie;Zamieszkanie;Wierzący;Religia;Myślenie o śmierci przygnębia mnie (Lęk);Często zastanawiam się, w jakiej sytuacji byłbym skłonny odebrać sobie życie (Fascynacja);Perspektywa mojej śmierci jest dla mnie przerażająca (Lęk);Śmierć jest dla mnie czymś przykrym (Lęk);Lubię wyobrażać sobie, w jaki sposób umrę (Fascynacja);Gdy ktoś porusza w mojej obecności kwestię śmierci, szybko staram się zmienić temat rozmowy (Lęk);W chwilach ciężkiego przygnębienia zaczynam myśleć o swoim zgonie (Fascynacja);Myślę, że w miarę upływu lat będę się częściej modlić (Lęk);W naprawdę ciężkiej sytuacji mógłbym zdecydować się na samobójstwo (Fascynacja);Często myślę o śmierci (Fascynacja);Lubię wyobrażać sobie własny pogrzeb (Fascynacja);Często myślę, że chciałbym umrzeć (Fascynacja);Napełnia mnie przerażeniem, gdy umierają bliskie mi osoby (Lęk);Śmierć jest dla mnie fascynującą tajemnicą (Fascynacja);O śmierci myślę bez lęku (Lęk);Śmierć jest najgorszym nieszczęściem w życiu człowieka (Lęk);Nie lubię filmów, w których jeden z głównych bohaterów umiera (Lęk);Nieraz trudno oderwać mi się od myśli o śmierci (Fascynacja);Lubię poznawać różne rytuały i obrzędy towarzyszące śmierci (Fascynacja);Nieraz wyobrażam sobie, co będzie się ze mną działo po śmierci (Fascynacja);Lubię rozmyślać na tematy związane ze śmiercią (Fascynacja);Interesują mnie obrazy przedstawiające śmierć i umieranie (Fascynacja);Często rozmawiam z ludźmi na temat śmierci (Fascynacja);Koleżeński (Wspolnotowość);Wyrozumiały (Wspólnotowość);Pewny siebie (Sprawczość);Skuteczny (Sprawczość);Opiekuńczy (Wspólnotowość);Przyjazny (Wspólnotowość);Konsekwentny (Sprawczość);Skłonny do kompromisu (Wspólnotowość);Uczynny (Wspólnotowość);Ambitny (Sprawczość);Życzliwy (Wspólnotowość);Doceniający innych (Wspólnotowść);Energiczny (Sprawczość);Przedsiębiorczy (Sprawczość);Współczujący (Wspólnotowość);O silnej woli (Sprawczość);Sprawny (Sprawczość);O skłonnościach przywódczych (Sprawczość);Wspierający innych (Sprawczość);Pomocny (Wspólnotowość);Przekonujący (Sprawczość);Wybaczający (Wspólnotowość);Przebojowy (Sprawczość);Pomysłowy (Sprawczość);Rozumiejący innych (Wspólnotowość);Zaradny (Sprawczość);Poświęcający się dla innych (Wspólnotowość);Zdecydowany (Sprawczość);Aktywny (Sprawczość);Wrażliwy na innych (Wspólnotowość);Pomniejszam wagę swoich osiągnięć (Autodeprecjacja);Sprawiam wrażenie, że wiem więcej, niż to jest naprawdę (Autopromocja);Podkreślam własne zasługi (Autopromocja);Sprawiam wrażenie osoby zajętej ważnymi sprawami (Autopromocja);Wypadam gorzej od drugiej osoby, żeby jej nie sprawić przykrości (Autodeprecjacja); Sprawiam wrażenie osoby niepewnej siebie (Autodeprecjacja);Pewnych zadań podejmuję się dla wykazania, że coś potrafię (Autopromocja);Podkreślam własne umiejętności (Autopromocja);Unikam mówienia o swoich sukcesach (Autodeprecjacja);Gdy niepokoję się, że coś mi nie wyjdzie, opowiadam o tym innym (Autodeprecjacja);Staram się wypaść na osobę znającą się na rzeczy (Autopromocja);Mówię przepraszam, nawet kiedy tak naprawdę to nie moja wina (Autodeprecjacja);Podkreślam swoje wady (Autodeprecjacja);Opowiadam o tym, co mi się udało (Autopromocja);Sprawiam wrażenie osoby pewnej siebie (Autopromocja);Staram się nie wywyższać (Autodeprecjacja);Gdy coś mi dobrze pójdzie, staram się pokazać także swoje wady (Autodeprecjacja);Przyznaję się do własnej bezradności (Autodeprecjacja);Mówię o swoich zaletach (Autopromocja);Nawet gdy czegoś nie potrafię, zachowuję się, jakbym to umiał (Autopromocja);Sprawiam wrażenie osoby kompetentnej (Autopromocja);Zachowuję się bardziej bezradnie niż się czuję (Autodeprecjacja);Opowiadam o tym, co mi się nie udało (Autodeprecjacja);Nadrabiam miną, gdy coś idzie nie tak (Autopromocja);Z góry twierdzę, że nie dam sobie z czymś rady (Autodeprecjacja);Unikam tego, by za dobrze wypaść (Autodeprecjacja);Kiedy brak mi wiedzy na jakiś temat, nie daję tego po sobie poznać (Autopromocja);Mówię zdecydowanym tonem, nawet kiedy wcale nie mam pewności (Autopromocja);Kiedy dobrze wypadnę, przekonuję innych, że to przypadek (Autodeprecjacja);W dyskusji lubię pokazać, że się dobrze znam na rzeczy (Autopromocja);Lęk przed śmiercią;Fascynacja śmiercią;Osobowość sprawcza;Osobowość wspólnotowa;Autodeprecjacja;Autopromocja
45;Kobieta;24;Wyższe (licencjat, magisterium);Duże miasto (powyżej 50 tyś. mieszkańców);Tak;Katolicyzm;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Tak;Tak;Raczej tak;Tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Tak;Trudno powiedzieć, trochę tak, trochę nie;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Tak;Raczej tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Tak;Często;Czasami;Rzadko;Rzadko;Czasami;Czasami;Czasami;Często;Często;Czasami;Rzadko;Czasami;Czasami;Czasami;Rzadko;Rzadko;Często;Często;Często;Nigdy;Czasami;Nigdy;Czasami;Czasami;Nigdy;Rzadko;Czasami;Rzadko;Czasami;Rzadko;3.55555555555556;1;4.4;5.73333333333333;2.86666666666667;2.6
130;Kobieta;24;Wyższe (licencjat, magisterium);Duże miasto (powyżej 50 tyś. mieszkańców);Nie;Nie wierzący;Raczej tak;Raczej tak;Raczej tak;Raczej nie;Raczej tak;Raczej tak;Raczej nie;Raczej nie;Raczej tak;Raczej tak;Zdecydowanie nie;Zdecydowanie nie;Raczej tak;Zdecydowanie tak;Raczej tak;Zdecydowanie nie;Zdecydowanie nie;Raczej tak;Zdecydowanie nie;Zdecydowanie tak;Raczej tak;Zdecydowanie nie;Raczej tak;Tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Tak;Raczej tak;Raczej nie;Raczej tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Tak;Raczej nie;Raczej tak;Raczej tak;Raczej tak;Raczej tak;Raczej nie;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Tak;Raczej tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Tak;Często;Często;Często;Rzadko;Czasami;Często;Czasami;Często;Często;Często;Często;Rzadko;Czasami;Czasami;Rzadko;Często;Często;Czasami;Czasami;Nigdy;Często;Często;Często;Rzadko;Często;Rzadko;Czasami;Czasami;Czasami;Często;2.33333333333333;2.5;4.13333333333333;5.46666666666667;3.46666666666667;3.06666666666667
139;Kobieta;24;Wyższe (licencjat, magisterium);Wieś;Tak;Katolicyzm;Raczej tak;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie nie;Raczej tak;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Raczej tak;Zdecydowanie nie;Raczej tak;Zdecydowanie tak;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Nie;Tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Raczej nie;Nie;Raczej nie;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Rzadko;Rzadko;Czasami;Rzadko;Rzadko;Często;Czasami;Często;Czasami;Rzadko;Czasami;Często;Rzadko;Często;Rzadko;Bardzo czesto;Rzadko;Często;Czasami;Rzadko;Czasami;Rzadko;Rzadko;Czasami;Bardzo czesto;Rzadko;Często;Czasami;Czasami;Czasami;3.11111111111111;1;3.06666666666667;4.26666666666667;2.93333333333333;2.93333333333333
151;Kobieta;24;Wyższe (licencjat, magisterium);Wieś;Nie;Nie wierzący;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie tak;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Raczej tak;Raczej nie;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Raczej tak;Raczej nie;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Rzadko;Czasami;Rzadko;Rzadko;Rzadko;Często;Czasami;Czasami;Rzadko;Rzadko;Czasami;Rzadko;Czasami;Często;Rzadko;Nigdy;Rzadko;Rzadko;Często;Czasami;Rzadko;Rzadko;Rzadko;Czasami;Często;Czasami;Czasami;Rzadko;Czasami;Czasami;3;1;3.93333333333333;4.06666666666667;2.4;2.8
157;Kobieta;24;Wyższe (licencjat, magisterium);Średnie miasto (do 50 tyś. mieszkańców);Tak;Katolicyzm;Zdecydowanie tak;Raczej tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie tak;Raczej nie;Raczej tak;Raczej tak;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Raczej tak;Raczej nie;Raczej nie;Raczej nie;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Raczej tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Tak;Raczej tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Tak;Tak;Zdecydowanie tak;Czasami;Rzadko;Rzadko;Rzadko;Rzadko;Rzadko;Rzadko;Rzadko;Często;Często;Często;Często;Często;Czasami;Czasami;Czasami;Czasami;Czasami;Rzadko;Czasami;Czasami;Często;Rzadko;Rzadko;Czasami;Czasami;Czasami;Czasami;Czasami;Czasami;2.88888888888889;1.57142857142857;6.26666666666667;7;3.13333333333333;2.6
160;Kobieta;24;Średnie ogólne;Duże miasto (powyżej 50 tyś. mieszkańców);Nie;Nie wierzący;Raczej tak;Raczej tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie nie;Raczej tak;Zdecydowanie nie;Raczej nie;Zdecydowanie tak;Zdecydowanie nie;Raczej tak;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Raczej nie;Zdecydowanie tak;Raczej tak;Raczej nie;Zdecydowanie tak;Raczej tak;Raczej tak;Raczej nie;Tak;Tak;Nie;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie tak;Zdecydowanie tak;Raczej nie;Tak;Tak;Zdecydowanie tak;Tak;Tak;Raczej nie;Nie;Zdecydowanie tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Zdecydowanie tak;Tak;Tak;Tak;Nie;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie tak;Raczej nie;Raczej tak;Zdecydowanie nie;Raczej nie;Zdecydowanie tak;Bardzo czesto;Bardzo czesto;Czasami;Często;Często;Bardzo czesto;Często;Rzadko;Bardzo czesto;Bardzo czesto;Czasami;Rzadko;Bardzo czesto;Rzadko;Rzadko;Bardzo czesto;Bardzo czesto;Często;Nigdy;Czasami;Czasami;Rzadko;Bardzo czesto;Rzadko;Bardzo czesto;Nigdy;Często;Nigdy;Często;Często;2.88888888888889;2.71428571428571;3.46666666666667;6.33333333333333;4.13333333333333;2.86666666666667
169;Kobieta;24;Wyższe (licencjat, magisterium);Duże miasto (powyżej 50 tyś. mieszkańców);Tak;Katolicyzm;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie tak;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Rzadko;Często;Często;Rzadko;Rzadko;Nigdy;Często;Bardzo czesto;Nigdy;Czasami;Często;Rzadko;Nigdy;Nigdy;Bardzo czesto;Często;Rzadko;Nigdy;Bardzo czesto;Często;Bardzo czesto;Nigdy;Nigdy;Nigdy;Nigdy;Czasami;Często;Często;Nigdy;Bardzo czesto;3.33333333333333;1;4;3.93333333333333;1.73333333333333;3.8
172;Kobieta;24;Wyższe (licencjat, magisterium);Duże miasto (powyżej 50 tyś. mieszkańców);Tak;Katolicyzm;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Raczej tak;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie tak;Raczej nie;Raczej nie;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie tak;Raczej tak;Raczej tak;Tak;Tak;Zdecydowanie tak;Raczej tak;Raczej tak;Raczej tak;Tak;Zdecydowanie tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Tak;Raczej tak;Zdecydowanie tak;Raczej tak;Tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Raczej tak;Raczej tak;Raczej tak;Raczej tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Tak;Raczej tak;Czasami;Czasami;Często;Czasami;Rzadko;Czasami;Często;Czasami;Czasami;Bardzo czesto;Rzadko;Rzadko;Rzadko;Czasami;Czasami;Często;Rzadko;Czasami;Często;Czasami;Czasami;Czasami;Rzadko;Często;Często;Rzadko;Czasami;Rzadko;Nigdy;Często;2.11111111111111;1.14285714285714;5.4;5.46666666666667;2.73333333333333;3.2
180;Kobieta;24;Wyższe (licencjat, magisterium);Duże miasto (powyżej 50 tyś. mieszkańców);Nie;Nie wierzący;Zdecydowanie tak;Raczej nie;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Raczej tak;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie tak;Raczej nie;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie tak;Raczej nie;Zdecydowanie nie;Raczej nie;Raczej tak;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Raczej tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Tak;Raczej tak;Raczej tak;Tak;Tak;Tak;Tak;Tak;Raczej tak;Raczej tak;Raczej tak;Raczej nie;Raczej nie;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Raczej nie;Tak;Tak;Raczej tak;Bardzo czesto;Bardzo czesto;Czasami;Czasami;Rzadko;Czasami;Często;Często;Często;Często;Często;Bardzo czesto;Czasami;Czasami;Czasami;Często;Często;Często;Rzadko;Często;Czasami;Czasami;Często;Rzadko;Często;Rzadko;Rzadko;Często;Często;Często;2.88888888888889;1.57142857142857;5.06666666666667;4.4;3.66666666666667;3.33333333333333
202;Kobieta;24;Wyższe (licencjat, magisterium);Duże miasto (powyżej 50 tyś. mieszkańców);Nie;Nie wierzący;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie nie;Raczej tak;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Raczej tak;Zdecydowanie nie;Zdecydowanie nie;Raczej tak;Zdecydowanie nie;Raczej nie;Tak;Tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Raczej tak;Nie;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Nie;Zdecydowanie tak;Raczej tak;Raczej nie;Raczej nie;Raczej tak;Raczej nie;Raczej tak;Raczej tak;Nie;Raczej tak;Zdecydowanie tak;Raczej tak;Raczej tak;Raczej nie;Raczej nie;Nie;Trudno powiedzieć, trochę tak, trochę nie;Czasami;Czasami;Często;Bardzo czesto;Nigdy;Nigdy;Nigdy;Czasami;Rzadko;Bardzo czesto;Bardzo czesto;Nigdy;Rzadko;Często;Bardzo czesto;Rzadko;Nigdy;Często;Często;Czasami;Bardzo czesto;Nigdy;Często;Czasami;Czasami;Nigdy;Czasami;Często;Nigdy;Bardzo czesto;1.44444444444444;2.85714285714286;4.13333333333333;4.4;2.13333333333333;3.8
204;Mężczyzna;24;Wyższe (licencjat, magisterium);Duże miasto (powyżej 50 tyś. mieszkańców);Nie;Nie wierzący;Raczej nie;Zdecydowanie nie;Raczej tak;Raczej tak;Raczej nie;Zdecydowanie nie;Raczej tak;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Raczej nie;Raczej nie;Zdecydowanie tak;Zdecydowanie nie;Raczej nie;Raczej tak;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Raczej tak;Raczej nie;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Nie;Tak;Raczej tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Nie;Raczej tak;Nie;Raczej tak;Zdecydowanie nie;Tak;Raczej nie;Raczej tak;Raczej tak;Raczej nie;Nie;Raczej tak;Nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Bardzo czesto;Rzadko;Często;Często;Czasami;Rzadko;Bardzo czesto;Nigdy;Często;Bardzo czesto;Często;Nigdy;Rzadko;Często;Często;Bardzo czesto;Rzadko;Często;Nigdy;Nigdy;Często;Rzadko;Często;Nigdy;Czasami;Nigdy;Rzadko;Często;Rzadko;Często;2.33333333333333;1.42857142857143;4.06666666666667;3.66666666666667;3;3
208;Mężczyzna;24;Wyższe (licencjat, magisterium);Duże miasto (powyżej 50 tyś. mieszkańców);Nie;Nie wierzący;Raczej nie;Zdecydowanie tak;Raczej nie;Raczej nie;Raczej tak;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Zdecydowanie tak;Raczej nie;Zdecydowanie tak;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Raczej tak;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie tak;Raczej nie;Zdecydowanie nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Raczej tak;Raczej nie;Zdecydowanie nie;Nie;Raczej nie;Zdecydowanie nie;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie nie;Zdecydowanie nie;Tak;Zdecydowanie nie;Raczej nie;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Nie;Tak;Raczej nie;Zdecydowanie nie;Raczej tak;Nie;Nie;Raczej nie;Czasami;Rzadko;Często;Rzadko;Nigdy;Rzadko;Nigdy;Rzadko;Rzadko;Rzadko;Często;Czasami;Często;Rzadko;Czasami;Rzadko;Rzadko;Nigdy;Rzadko;Często;Rzadko;Nigdy;Rzadko;Często;Bardzo czesto;Rzadko;Często;Rzadko;Rzadko;Bardzo czesto;1.55555555555556;3.21428571428571;2.13333333333333;3.93333333333333;2.26666666666667;2.86666666666667
19;Kobieta;23;Wyższe (licencjat, magisterium);Wieś;Tak;Katolicyzm;Raczej tak;Zdecydowanie nie;Raczej nie;Raczej tak;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Raczej tak;Raczej nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Raczej tak;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Tak;Tak;Raczej tak;Raczej tak;Tak;Tak;Tak;Raczej tak;Raczej tak;Raczej tak;Raczej tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Tak;Raczej tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Tak;Tak;Raczej tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Raczej tak;Raczej tak;Często;Czasami;Rzadko;Czasami;Rzadko;Rzadko;Czasami;Często;Rzadko;Często;Czasami;Nigdy;Czasami;Często;Często;Często;Czasami;Często;Często;Czasami;Często;Nigdy;Czasami;Czasami;Czasami;Rzadko;Czasami;Rzadko;Czasami;Nigdy;2.22222222222222;1.21428571428571;4.8;5.4;2.73333333333333;3.06666666666667
22;Kobieta;23;Wyższe (licencjat, magisterium);Duże miasto (powyżej 50 tyś. mieszkańców);Nie;Nie wierzący;Raczej tak;Raczej nie;Raczej tak;Zdecydowanie tak;Zdecydowanie nie;Raczej tak;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Raczej tak;Raczej nie;Zdecydowanie tak;Raczej nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Raczej tak;Raczej tak;Nie;Raczej nie;Tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Tak;Zdecydowanie tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie tak;Raczej nie;Raczej tak;Nie;Tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Raczej nie;Raczej nie;Tak;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Tak;Bardzo czesto;Rzadko;Rzadko;Rzadko;Nigdy;Czasami;Rzadko;Rzadko;Rzadko;Często;Często;Rzadko;Często;Czasami;Rzadko;Bardzo czesto;Czasami;Często;Nigdy;Rzadko;Czasami;Nigdy;Czasami;Rzadko;Bardzo czesto;Nigdy;Rzadko;Nigdy;Nigdy;Czasami;2.88888888888889;1.21428571428571;3.53333333333333;5.73333333333333;2.93333333333333;2.2
